label	txt
2	西汉桑弘羊主持的盐铁官营在各郡设盐铁官署严禁私人生产敢私铸铁器煮盐者钛左趾没人其器物这反映了汉武帝时期政府增加财政收人的迫切需要构成这段文字的是历史观点和历史解释历史观点和历史结论历史结论和历史解释历史叙述和历史解释
2	历史叙述一般分为史料呈现史实陈述历史评价历史解释等几种方式中学教材这样叙述清代海禁政策①清初为了对付东南沿海的抗清斗争②政府厉行海禁禁止官民私自出海；③清政府甚至认为天朝大国物产丰盈无所不有无需与外国进行贸易④使中国与世隔绝中国逐渐落伍于世界潮流其中属于历史评价的是①②③④
2	阅读材料回答问题材料京剧被称为东方歌剧因形成于北京而得名京剧形或以来出现了众多名伶大师其中表演艺术最代表性影响最大传播最广的当属梅兰芳梅兰芳出生于京剧世家岁学戏岁登台擅演青衣花旦刀马旦各个行当剧目他尊重传统大胆革新在京剧艺术的唱法念白做功身段武打表演伴奏乐器等各个方面都有新的发展与创造年首次到上海演出使很快风靡了整个江南年后形成独具一格的梅派梅兰芳也是向海外传播京剧艺术的先驱曾三次赴日一次赴美四次赴苏进行演出获得盛誉这些活动传播了京剧艺术增进了国际友谊更使京剧跃入了世界戏剧之林在抗战时期他排演了唤起爱国精神伸张民族正义的剧目北平沦陷后他罢歌息舞蓄须明志虽然生活极度困难但他决不为敌伪登台演出中华人民共和国成立后梅兰芳先后任中国戏曲研究院中国戏曲学院中国京剧院院长为祖国建设做出了多方面的贡献摘编自年月刊戏剧报根据材料并结合所学知识分析梅兰芳开始走红的原因根据材料并结合所学知识简要评述梅兰芳
2	下表为中国古代部分朝代县的数量与人口统计表由此可知朝代设县数目单位个人口数量单位亿汉唐元明清根据·．斯金纳研究成果制作县的数量随着人口增长而增加县数量变化反映了疆域变化县在基层管理中发挥重要作用县制已经不适合地方管理
2	据晋代三国志记载诸葛亮于治戎为长奇谋为短盖应变将略非其所长欤而在宋元时期文人的笔下诸葛亮的形象被大力美化或神化志在北伐一统兴复汉室的诸葛亮成为民族英雄爱国志士更成为呼风唤雨用兵如神的神奇军师这一变化的主要原因是文学风格的发展主流思想的演变统治政策的需要民族矛盾的尖锐
2	周王朝实行诸侯领土领民制度周天子作为天下共主直属的领土原本就只是天下之中的一国受到周围大小诸侯领土的直接限制后来不断为诸侯所侵到赧王已经只是洛阳周围那一小片地方大约三万人的领主不仅与家无异而且是个小家这反映了周朝的分封制从来就没有真正实施过周天子的权威实际上只限于周王国分封制是建立在实力基础上的等级制分封制下诸侯可随意侵夺周天子领地
2	古希腊悲剧家索福克勒斯在安提戈涅中讲述了年轻女子安提戈涅的故事她的哥哥死于内战她想要安葬自己的哥哥但国王下令谁埋葬了叛徒就将被处以死刑安提戈涅愤怒地斥责国王说最高的法律是主神宙斯向人类宣布的凡人的命令不能改变天神制定的永恒不变的不成文法索福克勒斯借安提戈涅之口表达出了习惯法地位高于成文法朴素的法律至上思想女性在城邦中地位提高雅典民主政治的虚伪性
2	到期如债务人仍不能清偿又无人为其担保则债权人得将其押至家中拘留系以皮带或脚镣但重量最多为十五磅愿减轻者听便债务人在拘禁期间得自备伙食如无力自备则债权人应每日供给谷物粉一磅愿多给者听便这表明私有财产神圣不可侵犯债务人与债权人法律面前一律平等罗马法主要维护了债务人利益法律对借贷关系有明确的规定
2	表达概念的语言形式是词或词组汉代两牛牵引耕作等词所表达的历史概念是耦犁曲辕犁耧车大镰
2	国语讲祀国之大节有学者认为青铜器在商周时期被视为政治的权力可推断商周时期青铜器主要用作农具礼器食具货币
